site;country;site_name;FLUXNET2015;FLUXNET-CH4;lat;lon;elev;igbp;mat;map;region;continent
AR-SLu;Argentina;San Luis;CC-BY-4.0;;-33.4648;-66.4598;;MF;;400.0;Americas;South America
AR-Vir;Argentina;Virasoro;CC-BY-4.0;;-28.2395;-56.1886;;ENF;;;Americas;South America
AT-Neu;Austria;Neustift;CC-BY-4.0;CC-BY-4.0;47.1167;11.3175;970.0;GRA;6.5;852.0;Europe;Europe
AU-ASM;Australia;Alice Springs;CC-BY-4.0;;-22.283;133.249;;SAV;;;Oceania;Oceania
AU-Ade;Australia;Adelaide River;CC-BY-4.0;;-13.0769;131.1178;;WSA;;;Oceania;Oceania
AU-Cpr;Australia;Calperum;CC-BY-4.0;;-34.0021;140.5891;;SAV;;;Oceania;Oceania
AU-Cum;Australia;Cumberland Plain;CC-BY-4.0;;-33.6152;150.7236;;EBF;;;Oceania;Oceania
AU-DaP;Australia;Daly River Savanna;CC-BY-4.0;;-14.0633;131.3181;;GRA;27.25;983.78;Oceania;Oceania
AU-DaS;Australia;Daly River Cleared;CC-BY-4.0;;-14.1593;131.3881;;SAV;27.22;975.82;Oceania;Oceania
AU-Dry;Australia;Dry River;CC-BY-4.0;;-15.2588;132.3706;;SAV;;;Oceania;Oceania
AU-Emr;Australia;Emerald;CC-BY-4.0;;-23.8587;148.4746;;GRA;;;Oceania;Oceania
AU-Fog;Australia;Fogg Dam;CC-BY-4.0;;-12.5452;131.3072;;WET;27.02;1323.69;Oceania;Oceania
AU-GWW;Australia;Great Western Woodlands, Western Australia, Australia;CC-BY-4.0;;-30.1913;120.6541;;SAV;;;Oceania;Oceania
AU-Gin;Australia;Gingin;CC-BY-4.0;;-31.3764;115.7138;;WSA;;;Oceania;Oceania
AU-How;Australia;Howard Springs;CC-BY-4.0;;-12.4943;131.1523;;WSA;27.01;1449.35;Oceania;Oceania
AU-Lox;Australia;Loxton;CC-BY-4.0;;-34.4704;140.6551;;DBF;;;Oceania;Oceania
AU-RDF;Australia;Red Dirt Melon Farm, Northern Territory;CC-BY-4.0;;-14.5636;132.4776;;WSA;;;Oceania;Oceania
AU-Rig;Australia;Riggs Creek;CC-BY-4.0;;-36.6499;145.5759;;GRA;;;Oceania;Oceania
AU-Rob;Australia;Robson Creek, Queensland, Australia;CC-BY-4.0;;-17.1175;145.6301;;EBF;;;Oceania;Oceania
AU-Stp;Australia;Sturt Plains;CC-BY-4.0;;-17.1507;133.3502;;GRA;;;Oceania;Oceania
AU-TTE;Australia;Ti Tree East;CC-BY-4.0;;-22.287;133.64;;GRA;;;Oceania;Oceania
AU-Tum;Australia;Tumbarumba;CC-BY-4.0;;-35.6566;148.1517;1200.0;EBF;10.72;1159.01;Oceania;Oceania
AU-Wac;Australia;Wallaby Creek;CC-BY-4.0;;-37.4259;145.1878;;EBF;12.76;1105.59;Oceania;Oceania
AU-Whr;Australia;Whroo;CC-BY-4.0;;-36.6732;145.0294;;EBF;;;Oceania;Oceania
AU-Wom;Australia;Wombat;CC-BY-4.0;;-37.4222;144.0944;705.0;EBF;;;Oceania;Oceania
AU-Ync;Australia;Jaxa;CC-BY-4.0;;-34.9893;146.2907;;GRA;;;Oceania;Oceania
BE-Bra;Belgium;Brasschaat;CC-BY-4.0;;51.3076;4.5198;16.0;MF;9.8;750.0;Europe;Europe
BE-Lon;Belgium;Lonzee;CC-BY-4.0;;50.5516;4.7462;167.0;CRO;10.0;800.0;Europe;Europe
BE-Vie;Belgium;Vielsalm;CC-BY-4.0;;50.3049;5.9981;493.0;MF;7.8;1062.0;Europe;Europe
BR-Npw;Brazil;Northern Pantanal Wetland;;CC-BY-4.0;-16.498;-56.412;120.0;WSA;24.9;1486.0;Americas;South America
BR-Sa1;Brazil;Santarem-Km67-Primary Forest;CC-BY-4.0;;-2.8567;-54.9589;88.0;EBF;26.13;2074.79;Americas;South America
BR-Sa3;Brazil;Santarem-Km83-Logged Forest;CC-BY-4.0;;-3.018;-54.9714;100.0;EBF;26.12;2043.77;Americas;South America
BW-Gum;Botswana;Guma;;CC-BY-4.0;-18.9647;22.3711;950.0;WET;21.0;460.0;Africa;Africa
BW-Nxr;Botswana;Nxaraga;;CC-BY-4.0;-19.5481;23.1792;950.0;GRA;21.0;460.0;Africa;Africa
CA-Gro;Canada;Ontario - Groundhog River, Boreal Mixedwood Forest;CC-BY-4.0;;48.2167;-82.1556;340.0;MF;1.3;831.0;Americas;North America
CA-Man;Canada;Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area);CC-BY-4.0;;55.8796;-98.4808;259.0;ENF;-3.2;520.0;Americas;North America
CA-NS1;Canada;UCI-1850 burn site;CC-BY-4.0;;55.8792;-98.4839;260.0;ENF;-2.89;500.29;Americas;North America
CA-NS2;Canada;UCI-1930 burn site;CC-BY-4.0;;55.9058;-98.5247;260.0;ENF;-2.88;499.82;Americas;North America
CA-NS3;Canada;UCI-1964 burn site;CC-BY-4.0;;55.9117;-98.3822;260.0;ENF;-2.87;502.22;Americas;North America
CA-NS4;Canada;UCI-1964 burn site wet;CC-BY-4.0;;55.9144;-98.3806;260.0;ENF;-2.87;502.22;Americas;North America
